OBJECTID,BasinCode,Description,Latitude,Longitude,Ecoregion,Planning_Segment,WebData,County,HUC8,Basin,Status,Title,AssessmentUnit,x,y
36,ARK0023,Bayou Meto on SR11 1.5 miles S of Bayou Meto,34.20,-91.53,DELT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0023#display,35,08020402,ARK0023,A,Water Quality Monitoring Station,AR_08020402_003,-10189140.645,4055945.494
37,ARK0024,Arkansas River of SR11 at Lock & Dam #3 5.5 miles N of Grady,34.16,-91.68,DELT,3A,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0024#display,40,08020401,ARK0024,I,Water Quality Monitoring Station,AR_08020401_004,-10205582.254,4050307.221
38,ARK0025A,Osage Creek AB Rogers AR,36.31,-94.21,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0025A#display,04,11110103,ARK0025A,I,Water Quality Monitoring Station,AR_11110103_930,-10487106.715,4342874.283
39,ARK0025B,Osage Creek BL Rogers AR,36.30,-94.22,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0025B#display,04,11110103,ARK0025B,I,Water Quality Monitoring Station,AR_11110103_930,-10488137.766,4342279.898
40,ARK0025C,Osage Creek at Hwy 112 BL Rogers Sewer Treatment Plant,36.28,-94.23,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0025C#display,04,11110103,ARK0025C,I,Water Quality Monitoring Station,AR_11110103_930,-10489391.334,4339674.052
41,ARK0026A,Spring Creek AB Springdale AR,36.21,-94.15,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0026A#display,04,11110103,ARK0026A,I,Water Quality Monitoring Station,AR_11110103_931,-10481099.612,4329638.529
42,ARK0026B,Spring Creek BL Springdale AR,36.22,-94.19,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0026B#display,04,11110103,ARK0026B,I,Water Quality Monitoring Station,AR_11110103_931,-10485411.511,4331486.019
43,ARK0027,Yellow L Spillway @ PB Arsenal,34.31,-92.06,GULF,3C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0027#display,35,11110207,ARK0027,I,Water Quality Monitoring Station,,-10247883.79,4070881.998
44,ARK0028,Keeland Creek on CR62 E of Ola,35.03,-93.19,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0028#display,75,11110204,ARK0028,I,Water Quality Monitoring Station,AR_11110204_902,-10373713.193,4168223.433
45,ARK0029,Arkansas River at Murray Lock and Dam (Lock and Dam No. 7) in N Little Rock,34.79,-92.33,ARRV,3C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0029#display,60,11110207,ARK0029,A,Water Quality Monitoring Station,AR_11110207_011,-10278127.812,4135471.464
46,ARK0030,Arkansas River at Lock and Dam No. 8,35.08,-92.54,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0030#display,23,11110203,ARK0030,I,Water Quality Monitoring Station,AR_11110203_009,-10300949.811,4174078.887
47,ARK0030B,Arkansas River at Toad Suck Lock and Dam (Lock and Dam 8) in Conway,35.08,-92.54,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0030B#display,23,11110203,ARK0030B,A,Water Quality Monitoring Station,AR_11110203_009,-10301908.229,4174438.06
48,ARK0031,"Arkansas River at Lock and Dam No. 9 near Oppelo, Arkansas",35.13,-92.79,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0031#display,15,11110203,ARK0031,I,Water Quality Monitoring Station,AR_11110203_027,-10328779.691,4181331.165
49,ARK0031B,Arkansas River at Ormond Lock and Dam (Lock and Dam 9) S of Morrilton,35.13,-92.79,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0031B#display,15,11110203,ARK0031B,A,Water Quality Monitoring Station,AR_11110203_027,-10329129.161,4181164.978
50,ARK0032,"Arkansas River on SR7 (S, Arkansas Ave) in Dardanelle",35.23,-93.15,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0032#display,58,11110203,ARK0032,A,Water Quality Monitoring Station,AR_11110203_932,-10369278.996,4194626.4
51,ARK0033,Arkansas River at Ozark Lock and Dam S of Ozark,35.47,-93.81,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0033#display,24,11110201,ARK0033,A,Water Quality Monitoring Station,AR_11110201_4080,-10443191.925,4228279.697
52,ARK0034,Petit Jean River on SR23 S of Booneville,35.11,-93.92,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0034#display,42,11110204,ARK0034,A,Water Quality Monitoring Station,AR_11110204_011,-10455539.054,4178459.698
53,ARK0034B,Petit Jean River BL Booneville,35.13,-93.89,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0034B#display,42,11110204,ARK0034B,I,Water Quality Monitoring Station,AR_11110204_011,-10451498.082,4181508.174
54,ARK0035,Petit Jean River on SR7 S of Centerville,35.07,-93.20,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0035#display,75,11110204,ARK0035,I,Water Quality Monitoring Station,AR_11110204_001,-10374910.707,4174037.995
55,ARK0036,Fourche LaFave River on SR113 S of Bigelow,34.98,-92.65,ARRV,3E,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0036#display,53,11110206,ARK0036,I,Water Quality Monitoring Station,AR_11110206_001,-10313501.181,4161128.594
56,ARK0037,Fourche LaFave River on SR28 S of Harvey,34.83,-93.80,OUMT,3E,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0037#display,64,11110206,ARK0037,A,Water Quality Monitoring Station,AR_11110206_007,-10441557.866,4140369.82
57,ARK0037A,Fourche La Fave River on SR28 E of Gravelly,34.87,-93.66,OUMT,3E,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0037A#display,64,11110206,ARK0037A,I,Water Quality Monitoring Station,AR_11110206_007,-10425791.451,4146572.017
58,ARK0038,Arkansas River off SR255 (Riverfront Dr.) on a boat ramp in Van Buren,35.43,-94.37,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0038#display,66,11110104,ARK0038,A,Water Quality Monitoring Station,AR_11110104_001,-10505198.508,4222799.778
59,ARK0039,Ark River at near Hwy 59 at Kerr L & D No 15,35.35,-94.77,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0039#display,00,11110104,ARK0039,I,Water Quality Monitoring Station,AR_11110104_060,-10549826.703,4211715.878
60,ARK0040,Illinois River on SR16 W of Savoy,36.10,-94.34,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0040#display,72,11110103,ARK0040,A,Water Quality Monitoring Station,AR_11110103_024,-10502351.658,4314812.148
61,ARK0041,Osage Creek on Snavely Rd. 4 miles W of Elm Springs,36.22,-94.29,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0041#display,04,11110103,ARK0041,I,Water Quality Monitoring Station,AR_11110103_830,-10496016.727,4331228.088
62,ARK0042,Mulberry River just off I40 (dirt trail) 11 miles E of Alma,35.53,-94.04,BOMT,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0042#display,24,11110201,ARK0042,A,Water Quality Monitoring Station,AR_11110201_006,-10468174.101,4235882.181
63,ARK0043,Big Piney Creek on SR164 1.3 miles S of Bullfrog Valley,35.51,-93.18,BOMT,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0043#display,58,11110202,ARK0043,A,Water Quality Monitoring Station,AR_11110202_919,-10372886.827,4232795.699
64,ARK0044,Illinois Bayou on SR7 1.2 miles NW of Dover,35.41,-93.13,BOMT,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0044#display,58,11110202,ARK0044,A,Water Quality Monitoring Station,AR_11110202_011,-10367555.767,4219853.479
65,ARK0045,Clear Cr near Savoy AR,36.10,-94.33,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0045#display,72,11110103,ARK0045,I,Water Quality Monitoring Station,AR_11110103_029,-10501213.636,4315065.958
66,ARK0046,Arkansas River at David D. Terry Lock and Dam SW of Scott,34.67,-92.15,DELT,3C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0046#display,60,11110207,ARK0046,A,Water Quality Monitoring Station,AR_11110207_008,-10258648.254,4118936.517
67,ARK0047,Frog Bayou off SR348 (N Railroad Ave.) in Rudy,35.53,-94.27,BOMT,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0047#display,17,11110201,ARK0047,I,Water Quality Monitoring Station,AR_11110201_017,-10494489.678,4235841.479
68,ARK0048,Arkansas River at Lock and Dam No. 4 off I63 on Charles Wooden Rd NE of Pine Bluff,34.25,-91.91,DELT,3C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0048#display,35,11110207,ARK0048,A,Water Quality Monitoring Station,AR_11110207_001,-10230940.67,4062259.534
69,ARK0049,Arkansas River at Lock and Dam No. 5 on SR256 SW of Wright,34.41,-92.10,DELT,3C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0049#display,35,11110207,ARK0049,A,Water Quality Monitoring Station,AR_11110207_005,-10252737.12,4084434.836
70,ARK0050,Bayou Meto on SR161 just S of Jacksonville,34.84,-92.12,DELT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0050#display,60,08020402,ARK0050,A,Water Quality Monitoring Station,AR_08020402_007,-10254986.071,4142729.529
71,ARK0051,Stone Dam Creek on Sturgis Rd just S of Conway,35.05,-92.43,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0051#display,23,11110203,ARK0051,A,Water Quality Monitoring Station,AR_11110203_904,-10289158.529,4171295.04
72,ARK0051A,Stone Dam Creek AB Conway on S German Lane,35.06,-92.44,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0051A#display,23,11110203,ARK0051A,I,Water Quality Monitoring Station,AR_11110203_904,-10290652.449,4171930.005
73,ARK0052,South Fourche LaFave River on SR7 just S of Hollis,34.87,-93.11,OUMT,3E,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0052#display,53,11110206,ARK0052,A,Water Quality Monitoring Station,AR_11110206_014,-10364834.604,4146221.613
74,ARK0052B,South Fourche LaFave River below Cedar Creek,34.91,-93.06,OUMT,3E,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0052B#display,53,11110206,ARK0052B,I,Water Quality Monitoring Station,AR_11110206_013,-10359047.467,4151427.309
75,ARK0053,White Oak Creek on Union Groove Rd 2.5 miles E of Atkins,35.25,-92.89,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0053#display,58,11110203,ARK0053,A,Water Quality Monitoring Station,AR_11110203_927,-10340934.44,4198555.543
76,ARK0054,Poteau River on SR80 (E 6th St.) jus E of Waldron,34.90,-94.07,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0054#display,64,11110105,ARK0054,A,Water Quality Monitoring Station,AR_11110105_731,-10471402.288,4149771.224
77,ARK0055,Poteau River on Hwy 71 just N of Waldron,34.91,-94.11,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0055#display,64,11110105,ARK0055,A,Water Quality Monitoring Station,AR_11110105_031,-10475944.347,4152079.055
78,ARK0056,Little Sugar Creek tributary on NW A St N of Bentonville (WWTP),36.41,-94.21,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0056#display,04,11070208,ARK0056,A,Water Quality Monitoring Station,AR_11070208_903,-10487699.528,4356770.542
79,ARK0057,Dutch Creek on CR17 9 miles SW of Danville,35.00,-93.51,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0057#display,75,11110204,ARK0057,A,Water Quality Monitoring Station,AR_11110204_015,-10409978.326,4163866.967
80,ARK0058,Chickalah Creek on SR27 at Chickalah,35.16,-93.29,ARRV,3G,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0058#display,75,11110204,ARK0058,A,Water Quality Monitoring Station,AR_11110204_002,-10385321.433,4185680.944
81,ARK0059,Bayou Meto on CR646 (SE Ave) S of Jacksonville,34.84,-92.09,DELT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0059#display,60,08020402,ARK0059,I,Water Quality Monitoring Station,AR_08020402_007,-10251745.99,4142539.121
82,ARK0060,Bayou Meto on West Main Street Bridge in Jacksonville,34.87,-92.16,DELT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0060#display,60,08020402,ARK0060,A,Water Quality Monitoring Station,AR_08020402_507,-10259469.529,4145728.375
83,ARK0061,"Mulberry River just north of I40, off of SR215 on CR70 (Plymouth Rd) 6 miles N of Mulberry",35.57,-94.02,BOMT,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0061#display,24,11110201,ARK0061,I,Water Quality Monitoring Station,AR_11110201_006,-10466313.284,4241472.518
84,ARK0062,"Cadron Cr. 4 mi. W.of Wooster.SW 1/4,S.31,T7N,R14W,Faulkner",35.19,-92.53,ARRV,3D,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0062#display,15,11110205,ARK0062,I,Water Quality Monitoring Station,AR_11110205_011,-10300237.656,4190413.371
85,ARK0066,Illinois River AB Clear Cr,36.10,-94.34,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0066#display,72,11110103,ARK0066,I,Water Quality Monitoring Station,AR_11110103_024,-10502248.893,4314969.299
86,ARK0067,Whig Creek on S Franklin Ave. S of Russellville (WWTP),35.23,-93.14,ARRV,3F,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0067#display,58,11110203,ARK0067,A,Water Quality Monitoring Station,AR_11110203_931,-10368566.433,4194680.464
87,ARK0068A,Osage Creek on Pebble Beach Dr. ab. confluens with Spring Creek near Rogers,36.25,-94.24,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0068A#display,04,11110103,ARK0068A,I,Water Quality Monitoring Station,AR_11110103_930,-10490627.066,4335283.579
88,ARK0068B,Osage Creek on Colonel Myers Rd BL Spring Creek confl. near Rogers,36.24,-94.25,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0068B#display,04,11110103,ARK0068B,I,Water Quality Monitoring Station,AR_11110103_030,-10492252.627,4333792.931
89,ARK0068C,Spring Creek on S Main St AB Springdale WWTP near Springdale,36.24,-94.24,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0068C#display,72,11110103,ARK0068C,I,Water Quality Monitoring Station,AR_11110103_931,-10490627.066,4334234.681
90,ARK0069A,Flat Rock Creek ab. CAPCO outfall,35.43,-94.33,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0069A#display,17,11110201,ARK0069A,I,Water Quality Monitoring Station,,-10500211.755,4222362.631
91,ARK0069B,Flat Rock Cr. below CAPCO,35.43,-94.32,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0069B#display,17,11110201,ARK0069B,I,Water Quality Monitoring Station,,-10499499.31,4221788.857
